Nama,Negara,Tipe Kamar,Durasi Menginap,Tanggal Menginap,Tipe Traveler,Tanggal Ulasan,Skor,Judul,Komentar
"Stephanie","Italy","One Bedroom Private Pool Villa","2 nights","August 2023","Couple","August 2, 2023","5.0","Fair","Positif: Staff were friendly | Negatif: The villa was not the cleanest"
"Morris","United Kingdom","One Bedroom Private Pool Villa","8 nights","July 2023","Couple","July 16, 2023","10","Great place to chill great staff hour and half from airport so leave plenty of time to return to air","Positif: We called it the bali bingo breakfast every thing was lovely just language barrier sometimes so if you like tea with milk ask for sou sou very friendly staff could not try to help more then they did I would definitely visit again | Negatif: "
"Anonymous","United States","Deluxe One Bedroom Private Pool Villa","7 nights","October 2023","Solo traveler","October 17, 2023","8.0","ZEN, PEACE, SERENITY, FAMILY, COMMUNITY.. overall everything I needed.","Positif: I loved the staff, they were so nice & super attentive. The most friendly & accommodating hotel staff I have come across in my history of traveling. I wish I could have brought them back to America just to feel there good vibes everyday lol. I also loved how spacious the villas are, how secluded and quite the atmosphere was — believe it or not, I enjoyed the sounds of the animals every morning. The property is exactly what I need, peace and zen. | Negatif: There was a ton of ants in my villa, I do understand that it’s located in the jungle & thats almost uncontrollable but I didn’t mind them in my villa however, on my bed & in my room was what I didn’t like. When I notified the staff they provided ant spray & that actually helped a lot. I also didn’t like the location for only one reason, the taxis come to the front desk when you call them & you have to walk all the way down along unpaved “road” to get to the front desk & at night that can be super scary because there’s no lights. I wish the hotel address was linked to where the villas actually are, this would make pickups/drop offs easier — or a safer, smoother road with lights to walk down to the front desk."
"Kiara","Switzerland","One Bedroom Private Pool Villa","1 night","August 2024","Couple","August 4, 2024","7.0","Good","Positif: cest un lieu perdu dans un village, tres apaisant | Negatif: pour le prix élevé pour le pays, les linges sont pas tous propres, les murs fissurés le personnel assez froid."
"Fabienne","Belgium","Three Bedroom Private Pool Villa","6 nights","May 2024","Family","May 13, 2024","7.0","Manque d'empathie de la direction et situation fort excentrée","Positif: Agréable villa avec 3 chambres. Piscine et jardin corrects. Eau chaude et literie OK. Airco OK. | Negatif: A la suite d'une intoxication alimentaire subie par mon mari, nous avons demandé de pouvoir annuler notre réservation sans frais afin de pouvoir loger près de l'hôpital et de l'aéroport car un rapatriement allait peut-être être nécessaire. Mais la direction n'a pas voulu faire de geste pour nous et nous avons dû donc honorer notre réservation et faire plusieurs aller-retours de plus d'1h30 entre l'hôpital et la villa fort excentrée de la ville. Dommage ce manque d'empathie .... Sinon, odeurs de moisissures dans les chambres et traces de moisissures dans le frigo, pas de nécessaire pour manger ou boire si ce n'est 2-3 fourchettes, et quelques assiettes."
"Zeynep","Netherlands","Three Bedroom Private Pool Villa","1 night","November 2023","Group","December 1, 2023","6.0","Mooi, goed personeel locatie ver.","Positif: Mooie resort | Negatif: Ik denk dat wij een beetje pech hadden. Het stormde met regen en onweer. Waardoor er veelste veel vliegende beestjes onstonden. Hierdoor konden we niet fatsoenlijk naar buiten of zitten in de open air woonkamer."
"Natasa","Switzerland","One Bedroom Private Pool Villa","5 nights","October 2023","Group","October 13, 2023","7.0","Good","Positif: Die Villas sehen hübsch aus. Das Personal war jederzeit sehr hilfsbereit und freundlich. Schönes Schlafzimmer und geräumiges Bad. Der neuere Teil der Anlage mit dem grossen Pool war au sehr schön. | Negatif: Der Aussenbereich der Villa, Wohnzimmer und Pool, waren nicht ganz sauber, hier dürfte mehr investiert werden. Auch das Bad wirkte, obwohl es jeden Tag geputzt wurde unsauber - viele Kalkablagerungen und Schimmel in der Dusche. Zudem ist die Anlage etwas abgelegen. Wer kein eigenes Auto oder Bike hat ist darauf angewiesen sich vom Hotel Fahrer zu bestellen - Online Taxi Apps funktionieren dort nicht."
"Lara","Spain","One Bedroom Private Pool Villa","4 nights","August 2023","Family","August 5, 2023","8.0","Very Good","Positif: El sitio es precioso y la atención buenísima | Negatif: El aseo olía muy mal siempre, desde el primer día que llegamos, había mucha humedad y era un poco insoportable"
"Sebastian","Chile","Deluxe One Bedroom Private Pool Villa","1 night","July 2025","Couple","July 21, 2025","10","Relajo","Positif: TODO....la ubicación alejado del ruido muy tranquilo en medio de los bosques y plantaciones de arroz | Negatif: "
"Jeyoung","South Korea","One Bedroom Private Pool Villa","2 nights","September 2024","Couple","October 20, 2024","1.0","이곳을 예약했다면 객실에 들어가자 마자 물이 순환되고 있는지 확인하세요(버블 버블)","Positif: 숙소는 전반적으로 수준급에 호텔이었습니다. 저렴한 가격에 개인 풀빌라를 즐길 수 있습니다. | Negatif: 첫날 저희가 부킹닷컴에서 봤던 방과 다른 방으로 받아봤습니다. 두개 룸 사진을 한 방인거처럼 되어있었습니다. 방이 다르다고 얘기했지만 직원은 자기는 모르는 일이라며 가버렸습니다. 그날 밤 프라이빗 수영장에는 조명이 들어오지 않아 문의했더니 밤이 되면 들어온다 했고 밤이 되어도 들어오지 않았습니다. 물도 순환 되지 않아 더럽다 했더니 위에 나뭇잎만 건져주고 갔습니다. 조명은 밤이 되어야 고쳐준다고 했지만 전혀 고쳐지지 않았고 2박중 첫날을 그렇게 날렸습니다. 둘쨌날 방을 바꿔준다고 했지만 그 방 역시 공사중인 방이었습니다. 오후 1시면 준비된다고 했지만 3시가 넘어서야 오늘내로 공사 완료가 안 된다고 했고 그제야 또 다른 방을 보여주고 변경해주었습니다. 그 방은 물도 순환되고 있었고 조명도 들어왔습니다. 저희가 예약한 방보다도 좋은 방이었습니다. 그 때 되서야 사과를 받았고 서비스로 피자도 한판 받았습니다. 2박이었으니 하루라도 보상을 받았지 1박만 예약 했었다면 잘못된 방인것도 수영장 물이 순환되지 않아 더럽다는거도 모르고 나올뻔했습니다. 좋은 호텔이지만 그 직원들이 처음부터 저희를 속였고 계속 거짓말로 일관 했기에 재방문은 어려울 거 같습니다. 아 온수는 욕조를 다 채우지 못하고 차가운 물로 바뀝니다."
"Hedde","Netherlands","Three Bedroom Private Pool Villa","3 nights","September 2024","Group","October 2, 2024","5.0","Fair","Positif: Prima kamers | Negatif: Ligging (te ver af van Ubud). Presentatie (foto's) riepen ander beeld op dan werkelijkheid."
"Alexandra","","Deluxe One Bedroom Private Pool Villa","3 nights","September 2024","Couple","September 24, 2024","9.0","Wunderschöne Villa inmitten der Reisfelder","Positif: Schöne Lage inmitten der Reisfelder Toller eigener Pool Schöne eigene Villa, gute Ausstattung Sehr sauber Bis auf kleine Geckos und Frösche keine Insekten, etc. Ruhige Atmosphäre Gutes Frühstück (kein Buffet) Für ca. 5 € Aufpreis bekommt man ein Floating Breakfast Personal sehr nett und jederzeit erreichbar | Negatif: Lage ist ca. 20 km außerhalb von Ubud (ca. 1 Stunde Fahrtzeit mit dem Roller) Wenn man keinen eigenen Roller / Auto hat, ist die Unterkunft sehr schwer zu erreichen Preise im Restaurant recht teuer"
