Nama,Negara,Tipe Kamar,Detail Menginap,Tipe Traveler,Tanggal Ulasan,Skor,Evaluasi,Judul,Komentar
"Edy","Indonesia","Three Bedroom Villa","Stayed 1 night in July 2024","Family with young children","July 23, 2024","5.2","","Sangat minim fasilitas dan breakfast","Breakfast sangat minim, extrabed tidak tersedia, fasilitas hny kolam renang kecil , tv tdk ada channel ."
"Destiny","Australia","Two Bedroom Pool Villa","Stayed 4 nights in August 2025","Group","August 21, 2025","2.8","","The worst villa!","This villa is the worst one we have ever stayed at. The cleanliness of the villa was disgusting. As soon as we walked into the villa we were greeted with black mould on the sliding door curtain and the curtains over the bed in both rooms. We wanted to relax as we had travelled 3 hours to get to our villa, however the sheets on the beds were covered in stains and so were the towels. Housekeeping came to change the sheets and tried atleast 10 different ones before finding two without any stains and that’s just the start….. The living area was infested with flies. The lamp was rusty. There was a frog in the shower. The floorboards were not nailed down and are a hazard. The aircon did not work. The bathroom reeked of musk and the toilet and shower had both not been cleaned- both had stains. Now, we went across the road to their other restaurant for dinner and was provided with the exact same menu that was at the villa. While that sucked, we still ordered food. While the food was being prepared we wandered around by the pool. The bar has an open roof on the bottom floor so you can see straight in and that is when we saw a rat run across the bench and chopping board. Truely horrifying as we were about to eat. For the amount that we paid and the length we were going to be staying, it was appalling, we ended up checking out and checking into a new villa as they didn’t have any other rooms available. Which also put us out of pocket. I have reached out to the villa and Agoda to organise a full or partial refund and have not heard back from either. This experience was atrocious."
"Hiếu","Australia","Deluxe One Bedroom Private Pool Villa","Stayed 3 nights in November 2024","Couple","November 21, 2024","4.4","","Bad service","We came from Australian, we had bad time in here. The villa’s very far from Ubud, the reception staff she told they have a free service transport to ubud. I booked villa 2 nights but no transport service, I ask them and they booked locally drive from villa to ubud 224. 000/way.We checked the price on grab app only 150-170/ way, villa’s not allown pick up in there. We hadn’t more option, we booked return locally transport, he waited us in Ubud but he was unhappy and always ask how long can go back? I complanted him I hope they can check service. I don’t like food at villa, bad service. The wifi’s shit because long on way. Never back this villa again."
"Nofiyanto","Indonesia","Two Bedroom Pool Villa","Stayed 3 nights in December 2024","Family with teens","January 12, 2025","7.6","Very good","Broadleaf needs improvement.","The location of the villa is quite extreme due to the steep inclines and ceramic descents, and the access is narrow. The parking is tight when full. My disappointment is that for the first time renting a villa with a private pool, I was charged an extra 120,000 per day for the number of people, citing the addition of mineral water and towels. On my last day, I did not receive extra mineral water or towels; I had to ask for them first, unlike several private pool villas I have rented in Bali, which never charged extra for additional guests except for breakfast. I only need to come here once."
"Anuj","Hong Kong SAR, China","Three Bedroom Private Pool Villa","Stayed 3 nights in October 2024","Group","October 13, 2024","2.0","","NOT A 4 STAR HOTEL!!","NOT A 4-STAR HOTEL!!! LOCATION - The property is quite remote. I wouldn't recommend it if you want to stay close to the action. DECOR - While the rooms and open space were done up well, was not thought through. All the switches and plugs were hiding behind the beds. We had to move the beds to be able to access the plugs and switch on some lights. BASICs - it was missing simple basics like a hand towel, hand wash soap, mosquito repellent. When asked to provide hand towels and hand soap, they said they don't provide that. We were shocked to hear that. We kept demanding and they finally gave liquid soap in a shot glass and hand 2 hand towels full of stains. The bath towels were also not clean. For mosquito repellant, we were given a spray and expected us to use that with children in our rooms. Given the area is in the nature, there are many mosquitoes, one would expect them to provide mosquito repellent machines in room. FOOD – we just had lunch there and didn’t like anything that we ordered. TAXI / TOUR ACTIVITIES / AMENITIES - The don’t allow Grab on property and you can only book local taxis through the hotel which are obviously pricier that Grab taxi. We booked the property as they had amenities and expected them to help with booking tour activities as they are so outside of UBUD, there is no other tourist operator in the vicinity. But on arrival we were told some activities were unavailable and when asked to share details about the other tourist activities, their staff didn’t have any details and instead asked me to speak to local cab driver to share details. WIFI - NO WIFI in rooms. Only in the open area. Also, note they are so remote that the mobile data coverage in the area is really poor. HOSPITALITY - The property manager Mr Rai wasn’t all ears to our issues LISTEN and we had such a bad experience, that we checked out after 1st night, having booked for 3 nights."
"Jignesh","United Kingdom","Three Bedroom Villa","Stayed 7 nights in August 2024","Family with young children","September 04, 2024","3.2","","False info on website","When we book Villa, they mentioned that there is a full kitchen in the details of facility they provide. Nothing provided except 4 plates, a sink and storage. NO microwave, NO gas, NO dishwasher, NO cutlery, NO cooking utensils."
"Jignesh","United Kingdom","Two Bedroom Pool Villa","Stayed 6 nights in August 2024","Family with young children","September 04, 2024","2.8","","False information advertised on website","When we book Villa, they mentioned that there is a full kitchen in the details of facility they provide. Nothing provided except 4 plates, a sink and storage. NO microwave, NO gas, NO dishwasher, NO cutlery, NO cooking utensils."
"Andri","Indonesia","Three Bedroom Private Pool Villa","Stayed 1 night in June 2026","Group","June 22, 2026","10.0","Exceptional","Hotel's facilities","The hotel has great facilities and the rooms are spacious."
"Thalia","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in February 2026","Family with teens","February 14, 2026","10.0","Exceptional","Happy Holiday","Tempatnya nyaman banget"
"Ray","Indonesia","One Bedroom Pool Villa","Stayed 2 nights in January 2026","Couple","January 16, 2026","9.6","Exceptional","Very private","Recommended for private stay"
