username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Gabriella,Australia,Twin Room with Mountain View,1 night,Group,10-22-2023 00:00:00,Ok,7.0,en-us,Deco.,"Not great location, next to a busy road.","title: Ok. liked: Deco. disliked: Not great location, next to a busy road.","title: Ok. liked: Deco. disliked: Not great location, next to a busy road.",0,0,
Nicola,Italy,Double Room with Mountain View,1 night,Couple,10-10-2023 00:00:00,Very good,8.0,en,Very nice and clean room. Nice breakfast.,,title: Very good. liked: Very nice and clean room. Nice breakfast.,title: Very good. liked: Very nice and clean room. Nice breakfast.,0,0,
Ivo,Belgium,Double Room with Mountain View,2 nights,Couple,10-04-2023 00:00:00,Very good,8.0,en,Pool table 🤪,"Location, between roads","title: Very good. liked: Pool table 🤪. disliked: Location, between roads.","title: Very good. liked: Pool table 🤪. disliked: Location, between roads.",0,0,
Mariah,Canada,Double Room with Mountain View,1 night,Couple,09-18-2023 00:00:00,Very nice,8.0,en-us,"Cute rooms, good family environment, awesome little patios!",Pretty loud as it is right off the highway. A little muggy but it was also raining while we were there.,"title: Very nice. liked: Cute rooms, good family environment, awesome little patios! disliked: Pretty loud as it is right off the highway. A little muggy but it was also raining while we were there.","title: Very nice. liked: Cute rooms, good family environment, awesome little patios! disliked: Pretty loud as it is right off the highway. A little muggy but it was also raining while we were there.",0,0,
Yvonne,Australia,Double Room with Mountain View,2 nights,Couple,09-17-2023 00:00:00,Superb,9.0,en,"Location, close to the market and lake Complimentary breakfast was beautiful",Shower was hot on first day then cold water the day after. Room could have been cleaner.,"title: Superb. liked: Location, close to the market and lake Complimentary breakfast was beautiful. disliked: Shower was hot on first day then cold water the day after. Room could have been cleaner.","title: Superb. liked: Location, close to the market and lake Complimentary breakfast was beautiful. disliked: Shower was hot on first day then cold water the day after. Room could have been cleaner.",0,0,
Daniele,Italy,Double Room with Mountain View,1 night,Couple,09-14-2023 00:00:00,Good solution in Bratan Lake,8.0,en-us,Stanza e struttura generale,Niente,title: Good solution in Bratan Lake. liked: Stanza e struttura generale. disliked: Niente.,title: Good solution in Bratan Lake. liked: Stanza e struttura generale. disliked: Niente.,0,0,
Arran,Australia,Twin Room with Mountain View,1 night,Family,09-14-2023 00:00:00,Great quiet pace to rest and recover :),7.0,en,"The breakfast was awesome as strawberries were obviously in season. The rooms were basic but fulfilled our needs. The restaurant was quiet. This establishment in a perfect stopover for travelling between destinations as it is clean, basic and served our needs.",The hot water service could do with a service!,"title: Great quiet pace to rest and recover :) liked: The breakfast was awesome as strawberries were obviously in season. The rooms were basic but fulfilled our needs. The restaurant was quiet. This establishment in a perfect stopover for travelling between destinations as it is clean, basic and served our needs. disliked: The hot water service could do with a service!","title: Great quiet pace to rest and recover :) liked: The breakfast was awesome as strawberries were obviously in season. The rooms were basic but fulfilled our needs. The restaurant was quiet. This establishment in a perfect stopover for travelling between destinations as it is clean, basic and served our needs. disliked: The hot water service could do with a service!",0,0,
De,Australia,Double Room with Mountain View,2 nights,Couple,09-09-2023 00:00:00,Superb,9.0,en,"Good location, comfy and clean.",Problems with the hot water in the shower,"title: Superb. liked: Good location, comfy and clean. disliked: Problems with the hot water in the shower.","title: Superb. liked: Good location, comfy and clean. disliked: Problems with the hot water in the shower.",0,0,
Sabijn,Indonesia,Double Room with Mountain View,1 night,Family,09-07-2023 00:00:00,Remote,7.0,en,"Great food in the restaurant and the room was super deluxe! Amazing bed's and a very new bathroom. The best thing was the warm water bag you can ask for in the night, to keep yourself warm.","It's in the middle of 2 big streets, and nothing around to walk too. That makes the options very limited. The staff was helpful but I had to go look for them multiple times if I had a question or wanted to order, because it was so quiet en I guess they didn't want to stay at the reception (too cold). The resort is beautiful, the restaurant is very outdated. Because it's far from other places, we felt a bit stuck and without a great vibe or other people to meet.","title: Remote. liked: Great food in the restaurant and the room was super deluxe! Amazing bed's and a very new bathroom. The best thing was the warm water bag you can ask for in the night, to keep yourself warm. disliked: It's in the middle of 2 big streets, and nothing around to walk too. That makes the options very limited. The staff was helpful but I had to go look for them multiple times if I had a question or wanted to order, because it was so quiet en I guess they didn't want to stay at the reception (too cold). The resort is beautiful, the restaurant is very outdated. Because it's far from other places, we felt a bit stuck and without a great vibe or other people to meet.","title: Remote. liked: Great food in the restaurant and the room was super deluxe! Amazing bed's and a very new bathroom. The best thing was the warm water bag you can ask for in the night, to keep yourself warm. disliked: It's in the middle of 2 big streets, and nothing around to walk too. That makes the options very limited. The staff was helpful but I had to go look for them multiple times if I had a question or wanted to order, because it was so quiet en I guess they didn't want to stay at the reception (too cold). The resort is beautiful, the restaurant is very outdated. Because it's far from other places, we felt a bit stuck and without a great vibe or other people to meet.",0,0,
Hans,Belgium,Double Room with Mountain View,2 nights,Family,09-01-2023 00:00:00,"A wonderful place near Bedugul, Bratan Lake and the Botanical Gardens",9.0,en,"Very cosy and cute place, even the road is nearby... They did a lot to diminish the sound of traffic during busy moments during the day, there is even a nice text about it in every room! Very private little bungalows surrounded by nature. Feels like coming home! And the restaurant is great, excellent breakfast too! Visiting Bedugul we always choose this wonderful place.",,"title: A wonderful place near Bedugul, Bratan Lake and the Botanical Gardens. liked: Very cosy and cute place, even the road is nearby... They did a lot to diminish the sound of traffic during busy moments during the day, there is even a nice text about it in every room! Very private little bungalows surrounded by nature. Feels like coming home! And the restaurant is great, excellent breakfast too! Visiting Bedugul we always choose this wonderful place.","title: A wonderful place near Bedugul, Bratan Lake and the Botanical Gardens. liked: Very cosy and cute place, even the road is nearby... They did a lot to diminish the sound of traffic during busy moments during the day, there is even a nice text about it in every room! Very private little bungalows surrounded by nature. Feels like coming home! And the restaurant is great, excellent breakfast too! Visiting Bedugul we always choose this wonderful place.",0,0,Thank you very much for your very nice review... We look forward to welcoming you back to Strawberry Hill Hotel..
Nicolas,United Arab Emirates,Double Room with Mountain View,1 night,Family,08-26-2023 00:00:00,Very good,8.0,en-us,"The area. Nice hotel, close to the nature. Good restaurant. You feel like in Switzerland.",Pricey,"title: Very good. liked: The area. Nice hotel, close to the nature. Good restaurant. You feel like in Switzerland. disliked: Pricey.","title: Very good. liked: The area. Nice hotel, close to the nature. Good restaurant. You feel like in Switzerland. disliked: Pricey.",0,0,
Melanie,United Kingdom,Twin Room with Mountain View,2 nights,Family,08-24-2023 00:00:00,"Wonderful, unique hotel with beautiful garden.",9.0,en-us,"The bungalows are lovely, the gardens are beautiful. Staff are friendly, happily drove us back and forth to the sites we wanted to visit. A lovely experience.",Only downside is traffic noise which they can’t help and do their best to reduce.,"title: Wonderful, unique hotel with beautiful garden. liked: The bungalows are lovely, the gardens are beautiful. Staff are friendly, happily drove us back and forth to the sites we wanted to visit. A lovely experience. disliked: Only downside is traffic noise which they can’t help and do their best to reduce.","title: Wonderful, unique hotel with beautiful garden. liked: The bungalows are lovely, the gardens are beautiful. Staff are friendly, happily drove us back and forth to the sites we wanted to visit. A lovely experience. disliked: Only downside is traffic noise which they can’t help and do their best to reduce.",0,0,
